"序号",名称,开始日期,结束日期,持续,完成,Cost,协调者,前置任务,Outline number,资源,网页连接,备注
549,"      制定初创期技术人员薪酬制度（1-5月）",18-4-30,18-4-30,1,0,0,,,2.1.2.1,,,
550,"      完成一名UI招聘并在月底前入职",18-5-1,18-5-3,3,0,0,,,2.1.2.2,,,
429,"  私教端开发",18-3-15,18-6-11,76,0,0,,,2.2,,,
50,"    开发私教端移动端",18-3-15,18-3-15,1,0,0,,,2.2.1,,,
191,"    私教端UI设计",18-5-8,18-5-9,2,0,0,,,2.2.2,,,
108,"    完成私教端后端开发",18-5-13,18-5-13,1,0,0,,,2.2.3,,,
153,"      评级管理",18-5-13,18-5-13,1,0,0,,,2.2.3.1,,,
154,"      评价管理",18-5-13,18-5-13,1,0,0,,,2.2.3.2,,,
84,"    私教端移动端上线内测",18-6-11,18-6-11,1,0,0,,,2.2.4,,,
579,"    私教服务消费管理",18-4-17,18-4-24,7,0,0,,,2.2.5,,,
580,"      健身计划服务",18-4-17,18-4-18,2,0,0,,,2.2.5.1,,,
581,"      技术指导课、特色课程课",18-4-19,18-4-22,3,0,0,,,2.2.5.2,,,
582,"      体验服务",18-4-23,18-4-23,1,0,0,,,2.2.5.3,,,
583,"      体能测试服务",18-4-24,18-4-24,1,0,0,,,2.2.5.4,,,
523,"  完成私教端主要后端服务",18-3-19,18-4-2,13,0,0,,,2.3,,,
524,"    登录管理(微信、QQ)",18-3-19,18-3-19,1,0,0,,,2.3.1,,,
525,"    账号绑定或关联管理",18-3-19,18-3-19,1,0,0,,,2.3.2,,,
527,"    店铺管理",18-3-19,18-3-19,1,0,0,,,2.3.3,,,
526,"    认证信息管理",18-3-20,18-3-20,1,0,0,,,2.3.4,,,
528,"    服务管理",18-3-21,18-3-29,8,0,0,,,2.3.5,,,
529,"      技术指导课、特色课程课、体验服务",18-3-21,18-3-23,3,0,0,,,2.3.5.1,,,
531,"      体能测试服务",18-3-21,18-3-21,1,0,0,,,2.3.5.2,,,
534,"      不良服务记录",18-3-21,18-3-21,1,0,0,,,2.3.5.3,,,
530,"      锻炼计划",18-3-25,18-3-26,2,0,0,,,2.3.5.4,,,
532,"      预约管理",18-3-27,18-3-28,2,0,0,,,2.3.5.5,,,
533,"      学员管理",18-3-29,18-3-29,1,0,0,,,2.3.5.6,,,
535,"    账户管理",18-3-30,18-4-1,2,0,0,,,2.3.6,,,
536,"    年假管理",18-4-2,18-4-2,1,0,0,,,2.3.7,,,
512,"  线下私教推广，三月底目标认证私教数500人",18-6-17,18-6-17,1,0,0,,,2.4,,,
540,"  私教1000人",18-6-18,18-6-18,1,0,0,,,2.5,,,
517,"  2018/05-06",18-6-19,18-6-19,1,0,0,,,2.6,,,
518,"    销售开辟新市场（北、上、深、武）",18-6-19,18-6-19,1,0,0,,,2.6.1,,,
519,"    技术扩招",18-6-19,18-6-19,1,0,0,,,2.6.2,,,
520,"    完善公司组织结构",18-6-19,18-6-19,1,0,0,,,2.6.3,,,
521,"    准备北、上、深、武系统上线",18-6-19,18-6-19,1,0,0,,,2.6.4,,,
522,"    成都市场，加盟店铺占全市店铺的50%，私教人数达到3000人，消费端达到50w",18-6-19,18-6-19,1,0,0,,,2.6.5,,,
571,"  消费端",18-4-6,18-5-14,33,0,0,,,2.7,,,
573,"    团购私教课",18-4-6,18-4-6,1,0,0,,,2.7.1,,,
596,"    教练管理",18-5-14,18-5-14,1,0,0,,,2.7.2,,,
92,2018/04,18-6-18,18-6-18,1,0,0,,,3,,,
62,"  地铁广告位为期一个月推广",18-6-18,18-6-18,1,0,0,,,3.1,,,
63,"  线下推广为期一个月，周末人流量密集商业区域推广、工作日园区推广",18-6-18,18-6-18,1,0,0,,,3.2,,,
64,"  店铺目标800家",18-6-18,18-6-18,1,0,0,,,3.3,,,
65,"  消费端用户量达到10w人",18-6-18,18-6-18,1,0,0,,,3.4,,,
